 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
191,365.140,2.198,280.410,141.973,74.870,27.295,17.033,100.779,0.819,27.887,0.862,604,281,104.265,18.146,1.603,0.624,0.956
192,318.343,0.000,181.271,140.222,67.476,21.893,18.514,144.610,0.879,22.905,0.000,381,286,126.870,18.889,1.183,0.846,0.960
193,318.973,0.336,510.595,139.967,69.530,24.204,16.779,160.017,0.829,24.001,0.132,1089,296,166.759,16.735,1.442,0.693,0.955
194,313.097,0.000,791.502,141.012,65.486,21.240,18.769,154.912,0.917,21.778,0.000,1707,297,157.751,19.229,1.132,0.884,0.972
195,216.146,0.000,96.173,141.224,54.538,18.055,15.243,143.562,0.913,18.324,0.000,197,293,126.870,15.424,1.184,0.844,0.964
196,292.741,0.731,369.898,142.225,65.153,21.528,17.314,150.846,0.867,23.273,0.287,785,298,143.807,17.823,1.243,0.804,0.964
197,235.662,0.000,217.928,142.149,58.693,19.437,15.437,43.286,0.860,20.078,0.000,466,329,55.222,16.196,1.259,0.794,0.955
198,227.688,0.000,833.521,143.895,56.750,17.250,16.806,39.344,0.888,18.255,0.000,1814,333,72.474,16.757,1.026,0.974,0.958
199,347.303,0.000,613.649,145.916,70.447,23.282,18.993,135.054,0.879,24.348,0.000,1322,297,131.186,19.435,1.226,0.816,0.969
200,298.198,0.179,381.259,145.965,64.236,20.793,18.260,87.793,0.908,21.152,0.070,826,341,72.350,17.813,1.139,0.878,0.970
201,268.609,0.000,112.649,145.769,60.415,19.375,17.652,179.975,0.925,20.010,0.000,225,313,164.055,17.408,1.098,0.911,0.973
202,194.951,0.274,249.000,145.140,51.678,17.771,13.968,123.486,0.917,18.169,0.108,533,300,123.690,14.230,1.272,0.786,0.969
203,266.510,0.000,504.085,147.249,61.016,20.055,16.920,147.229,0.900,20.589,0.000,1079,315,159.146,17.084,1.185,0.844,0.964
204,191.174,0.560,713.412,144.998,51.141,16.351,14.886,140.535,0.919,16.900,0.220,1541,308,147.171,14.900,1.098,0.910,0.964
205,168.510,0.000,190.100,146.013,48.818,16.663,12.876,87.352,0.889,16.999,0.000,410,301,104.036,13.216,1.294,0.773,0.956
